id;license_plate;model;brand;fabrication_date;model_year;color;renavam;fuel_type;chassi_number;current_mileage;last_maintenance_date;last_maintenance_mileage;next_maintenance_date;next_maintenance_mileage;description;status;created_by;created_date;last_modified_by;last_modified_date;client_id
1;"ABC1D23";Onix LT;Chevrolet;2020-06-15;2020;Prata;"12345678901";FLEX;"9BGKS48L0KG123456";45000;2023-01-10;40000;2023-07-10;50000;Veículo particular, revisões em dia;AVAILABLE;system;2023-03-04T14:13:32;system;2023-03-04T10:18:34;1
2;"DEF4G56";Sprinter 415;Mercedes-Benz;2019-03-20;2019;Branco;"23456789012";DIESEL;"8AC906633KE123456";120000;2023-02-15;115000;2023-05-15;125000;Van de entrega, uso diário intenso;UNDER_MAINTENANCE;system;2023-03-05T00:49:25;system;2023-03-04T07:42:23;2
3;"GHI7J89";Civic EXL;Honda;2021-08-05;2021;Preto;"34567890123";FLEX;"93HFC2640MZ123456";30000;2023-02-01;25000;2023-08-01;35000;Veículo executivo, cliente exigente;AVAILABLE;system;2023-03-04T15:05:26;system;2023-03-04T10:33:48;3
4;"JKL1M23";Corolla XEI;Toyota;2018-11-10;2019;Branco;"45678901234";FLEX;"9BRBD48E0K2123456";75000;2022-12-20;70000;2023-06-20;80000;Veículo particular, cliente pontual;AVAILABLE;system;2023-03-04T04:45:59;system;2023-03-04T20:56:05;4
5;"MNO4P56";Strada Working;Fiat;2020-04-25;2020;Vermelho;"56789012345";FLEX;"9BD57834ULY123456";60000;2023-01-05;55000;2023-07-05;65000;Picape de trabalho, uso em canteiro de obras;WAITING_MAINTENANCE;system;2023-03-04T07:07:23;system;2023-03-04T03:01:48;5
6;"QRS7T89";Master Furgão;Renault;2017-09-30;2018;Branco;"67890123456";DIESEL;"93YMAF4CEJJ123456";150000;2022-11-15;145000;2023-05-15;155000;Furgão de carga, necessita revisão de freios;WAITING_MAINTENANCE;system;2023-03-04T20:05:40;system;2023-03-04T14:38:18;6
7;"UVW1X23";HB20 Comfort;Hyundai;2022-01-15;2022;Azul;"78901234567";FLEX;"9BHBG51CANP123456";15000;2022-10-10;10000;2023-04-10;20000;Veículo novo, primeira revisão programada;AVAILABLE;system;2023-03-04T09:22:15;system;2023-03-04T09:42:32;7
8;"YZA4B56";Fusca 1300;Volkswagen;1975-05-20;1975;Azul;"89012345678";GASOLINA;"B5123456";95000;2022-09-05;90000;2023-03-05;100000;Veículo antigo, colecionador, cuidados especiais;OUT_OF_SERVICE;system;2023-03-04T22:26:25;system;2023-03-04T15:13:24;8
9;"CDE7F89";Ranger XLT;Ford;2019-07-12;2019;Prata;"90123456789";DIESEL;"8AFAR22J9KJ123456";85000;2023-02-20;80000;2023-08-20;90000;Picape de uso misto, cliente empresa;AVAILABLE;system;2023-03-04T21:22:00;system;2023-03-04T15:31:41;9
10;"GHI1J23";Uno Way;Fiat;2016-03-10;2016;Vermelho;"01234567890";FLEX;"9BD195A4ZG0123456";110000;2022-08-15;105000;2023-02-15;115000;Veículo com problemas no motor, aguardando peças;OUT_OF_SERVICE;system;2023-03-04T11:15:37;system;2023-03-04T06:27:48;10
