id;creation_date;start_date;completion_date;initial_cost;additional_cost;total_cost;notes;status;created_by;created_date;last_modified_by;last_modified_date;type_id;vehicle_id
1;2023-03-01T09:30:00;2023-03-01T10:15:00;2023-03-01T11:45:00;150.00;35.00;185.00;Cliente solicitou óleo sintético premium. Verificado nível de fluidos.;COMPLETED;system;2023-03-01T09:30:00;system;2023-03-01T11:45:00;1;1
2;2023-03-02T14:00:00;2023-03-02T14:30:00;null;350.00;0.00;350.00;Revisão programada de 40.000 km. Verificar ruído no sistema de freio.;IN_PROGRESS;system;2023-03-02T14:00:00;system;2023-03-02T14:30:00;2;3
3;2023-02-25T08:45:00;2023-02-25T09:30:00;2023-02-25T16:00:00;650.00;120.00;770.00;Revisão completa realizada. Identificado desgaste nas pastilhas de freio, cliente autorizou a troca.;COMPLETED;system;2023-02-25T08:45:00;system;2023-02-25T16:00:00;3;4
4;2023-03-03T11:00:00;2023-03-03T11:30:00;2023-03-03T12:45:00;180.00;0.00;180.00;Alinhamento e balanceamento realizados. Recomendado rodízio de pneus na próxima visita.;COMPLETED;system;2023-03-03T11:00:00;system;2023-03-03T12:45:00;4;7
5;2023-03-04T10:00:00;2023-03-04T10:30:00;null;220.00;85.00;305.00;Troca de pastilhas de freio dianteiras. Identificado desgaste nos discos, cliente avisado.;IN_PROGRESS;system;2023-03-04T10:00:00;system;2023-03-04T10:30:00;5;9
6;2023-03-04T15:30:00;null;null;120.00;0.00;120.00;Cliente relatou falha no motor. Agendado diagnóstico eletrônico.;CREATED;system;2023-03-04T15:30:00;system;2023-03-04T15:30:00;6;10
7;2023-02-28T13:15:00;2023-02-28T13:45:00;2023-02-28T14:30:00;80.00;450.00;530.00;Bateria substituída. Cliente optou por modelo premium com maior garantia.;COMPLETED;system;2023-02-28T13:15:00;system;2023-02-28T14:30:00;7;5
8;2023-03-04T16:45:00;null;null;250.00;0.00;250.00;Agendada higienização do ar condicionado. Cliente relatou mau cheiro.;CREATED;system;2023-03-04T16:45:00;system;2023-03-04T16:45:00;8;8
9;2023-02-27T09:00:00;2023-02-27T09:30:00;2023-02-27T14:00:00;380.00;95.00;475.00;Troca de correia dentada realizada. Identificado vazamento na bomba d'água, substituída com autorização do cliente.;COMPLETED;system;2023-02-27T09:00:00;system;2023-02-27T14:00:00;9;2
10;2023-03-04T08:30:00;null;null;450.00;0.00;450.00;Cliente relatou barulhos na suspensão. Agendado para avaliação detalhada.;CREATED;system;2023-03-04T08:30:00;system;2023-03-04T08:30:00;10;6
